Consulta|dia_semana|semana_del_mes|mes|cuatrimestre|anio|hora_discretizada|dni_discretizado|legajo_discretizado|posee_legajo|posee_telefono|carrera_valor|proveedor_correo|Clase
hola quiero anotarme a las materias ,para el segundo cuatri ,pero no puedo ,dice que no estoy en condiciones,me podrian decir que tengo que hacer,muchas gracias  |0|1|8|2|2019|0|3|4|1|1|52|gmail|Vacunas Enfermería
hola buenos días! quería saber cuando voy a poder anotarme en las materias ya que yo estaba inhabilitada por que se me había vencido la prorroga del analítico . pero ya entregue todo lo que correspondía hace una semana. espero su respuesta y dispulpe la molestia. saludos! |1|2|8|2|2017|1|3|3|1|1|52|outlook|Vacunas Enfermería
hola quisiera saber si en la consulta de situación académica deberían aparecer las notas de estos primeros parciales, ya que no me parecen y vi en la página que ya deberían estar  |2|5|5|1|2017|3|8|3|1|0|54|gmail|Situación Académica
buenas noches. en mi situacion academica aparece que no promovi el final de constitución. y aquel final se aprobaba con 4 yo saque un 6. podrian darme una respuesta por favor. gracias. |0|1|2|1|2018|3|5|3|1|1|5|hotmail|Situación Académica
hola,  quisiera obtener mi promedio o saber como lo puedo calcular. gracias.  |5|1|8|2|2016|1|3|1|1|1|54|hotmail|Situación Académica
hola! pregunta... estoy cursando la carrera de contador público e hice la simultaneidad para que me reconozcan las asiganturas comunes a la lic. en administración. &iquest;las asignaturas comunes tengo que anotarme con los 2 legajos (el de contador y el de lic.) o s&ograve;lo con anotarme con el legajo de contador alcanza? |0|2|8|2|2016|1|3|2|1|1|54|outlook|Situación Académica
hola buenos días, en principio gracias por la respuesta. ingrese a situación académica finales y me pude encontrar con las calificaciones. lo que me llamo la atención de esto es que no me figura deportes individuales y su enseñanza ii (dos) la cual yo ya curse y promoví con 7. espero su respuesta, gracias !! |2|3|2|1|2016|0|4|2|1|1|43|hotmail|Situación Académica
solicite durante el transcurso de este primer cuatrimestre que se rectifique mi caligicacion de la asignatura medios de pago del comercio internacional. promovi esa asignatura con un 8 , pero en mi perfil esta con calificacion 7 . y aun no se ha solucionado.  |1|2|7|1|2016|2|5|2|1|1|27|hotmail|Situación Académica
hola, hace poco me reincribi en la carrera. habia quedado libre. ahora reincripto en plan 1711. tengo una materia en condición de regular desde el 2016 que es taller libre 1, quería saber si perdí la regularidad al haber quedado libre en la carrera. como figuro en el sistema? |1|5|8|2|2017|0|3|1|1|1|17|gmail|Situación Académica
me dirijo a usted para realizar la siguiente consulta.  en la materia antropologia social figuro como regular pero no figura mi nota de final, siendo que este fue realizado a mediados del año pasado con una calificacion de seis en la universidad de san miguel.  agradeceria respuesta por medio del mail.  desde ya muchas gracias.  |3|1|3|1|2016|0|5|2|1|1|5|gmail|Situación Académica
buenos dias, te escribo por dos consultas, solicite la simultaneidad de dos carreras la de contador legajo 166116 y la de adm.123011, con la de administracion no puedo ingresar, es asi queda un solo legajo. y por otro lado en las materias del primer cuatrimestre no figura matematica ii como para contracursada ya que anteriormente la curse, es posible? gracias |0|1|2|1|2019|0|1|1|1|1|3|yahoo|Simultaneidad de Carreras
hola, quiero consultar &iquest;como hago para inscribirme en una segunda carrera en unlu? actualmente estoy cursando lic en sistemas de información y quisiera inscribirme a ingeniería industrial y poder cursar ambas carreras en unlu.  muchas gracias. |4|3|12|2|2015|0|4|2|1|1|14|gmail|Simultaneidad de Carreras
hola ! podrian informarme de como hago para la simultaneidad de las carreras de administracion y contador? gracias |0|5|2|1|2016|2|4|0|0|0|0|live|Simultaneidad de Carreras
cuando voy a ingresar a la pagina para  accesos de aspirantes y ingreso mi documento, me aparece &quot;no existen datos para el aspirante ingresado.&quot; y yo si soy un aspirante ingresado |6|1|3|1|2017|2|7|0|0|1|52|hotmail|Requisitos de Ingreso
