consulta,dia_semana,semana_del_mes,mes,cuatrimestre,anio,hora_discretizada,dni_discretizado,legajo_discretizado,posee_legajo,posee_telefono,carrera_valor,proveedor_correo,cantidad_caracteres,proporcion_mayusculas,proporcion_letras,cantidad_tildes,cantidad_palabras,cantidad_palabras_cortas,proporcion_palabras_distintas,frecuencia_signos_puntuacion,cantidad_oraciones,utiliza_codigo_asignatura,clase
"buenas tardes! cuando procedo a inscribir las materias a cursar me sale el siguiente mensaje ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas. quisiera saber que debo hacer para realizar la inscripción de las materias. me despido cordialmente de ustedes, esperando una respuesta satisfactoria a mi solicitud.  ",0,3,2,1,2019,2,8,0,0,1,4,4,346,0.0,0.8294797687861272,2,54,26,0.8333333333333334,0.017341040462427744,4,0,Requisitos de Ingreso
"buenas tardes! cuando procedo a inscribir las materias a cursar me sale el siguiente mensaje ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas. quisiera saber que debo hacer para realizar la inscripción de las materias. me despido cordialmente de ustedes, esperando una respuesta satisfactoria a mi solicitud.  ",0,3,2,1,2019,2,8,0,0,1,4,4,346,0.0,0.8294797687861272,2,54,26,0.8333333333333334,0.017341040462427744,4,0,Cambio de Carrera
"el motivo de mi consulta es que no recuerdo mi clave de estudiante, hice el tramite para restablecerla y no me llega ni un mail a mi correo. como lo puedo solucionar?. muchas gracias. ",5,1,7,1,2018,1,1,1,1,1,55,6,184,0.0,0.7880434782608695,0,35,22,0.8571428571428571,0.02717391304347826,3,0,Reincorporación
"el motivo de mi consulta es que no recuerdo mi clave de estudiante, hice el tramite para restablecerla y no me llega ni un mail a mi correo. como lo puedo solucionar?. muchas gracias. ",5,1,7,1,2018,1,1,1,1,1,55,6,184,0.0,0.7880434782608695,0,35,22,0.8571428571428571,0.02717391304347826,3,0,Reincorporación
quisiera saber como puedo obtener mi analitico para poder presentar en el trabajo que me recibi de lic en adm de empresa y de técnica.  gracias ,2,3,5,1,2017,2,4,1,1,1,3,4,144,0.0,0.8055555555555556,1,28,16,0.8571428571428571,0.006944444444444444,1,0,Reincorporación
hola queria saber porque no me publicaron la nota del final de economia i que lo rendi en san miguel el jueves 13 de julio.  ,2,3,7,1,2017,1,6,3,1,1,54,6,125,0.0,0.768,0,27,17,0.9259259259259259,0.008,1,0,Ingreso a la Universidad
hola queria saber porque no me publicaron la nota del final de economia i que lo rendi en san miguel el jueves 13 de julio.  ,2,3,7,1,2017,1,6,3,1,1,54,6,125,0.0,0.768,0,27,17,0.9259259259259259,0.008,1,0,Reincorporación
hola no me deja entrar con mi clave al servicio académico para estudiantes y ya pedí que me manden por correo para reestablecer la contraseña pero no me llega nada  ,1,5,1,1,2019,2,6,3,1,0,5,11,165,0.0,0.8121212121212121,2,32,22,0.84375,0.0,1,0,Cursadas
hola no me deja entrar con mi clave al servicio académico para estudiantes y ya pedí que me manden por correo para reestablecer la contraseña pero no me llega nada  ,1,5,1,1,2019,2,6,3,1,0,5,11,165,0.0,0.8121212121212121,2,32,22,0.84375,0.0,1,0,Ingreso a la Universidad
"hola qué tal! quería comentarles que estoy teniendo un inconveniente para inscribirme el mes de agosto ya que no me llega el mail para completar el formulario, por favor si me pondrían brindar información estaría muy agradecida. desde ya muchas gracias.  ",3,1,4,1,2018,3,7,0,0,1,0,6,255,0.0,0.8196078431372549,5,43,24,0.8372093023255814,0.015686274509803918,2,0,Boleto Universitario
"quiero anotarme para rendir el final de la materia taller de introducción al estudio de la historia, y no me aparece la opción justamente para esa materia. verifique varias veces y sigue sin aparecer, y al mirar en mi situación estudiantil figuro como regular. quería saber si no habrá final o si sucedió algún problema. ",2,3,9,2,2018,2,7,4,1,1,8,4,321,0.0,0.8130841121495327,7,56,26,0.8035714285714286,0.01557632398753894,3,0,Ingreso a la Universidad
"quiero anotarme para rendir el final de la materia taller de introducción al estudio de la historia, y no me aparece la opción justamente para esa materia. verifique varias veces y sigue sin aparecer, y al mirar en mi situación estudiantil figuro como regular. quería saber si no habrá final o si sucedió algún problema. ",2,3,9,2,2018,2,7,4,1,1,8,4,321,0.0,0.8130841121495327,7,56,26,0.8035714285714286,0.01557632398753894,3,0,Boleto Universitario
hola en el portal del boleto estudiantil no me deja registrarme apreto el boton verde y me dice no se ah podido.hay algun problema? ,4,3,8,2,2017,3,5,2,1,1,52,4,132,0.0,0.803030303030303,0,25,15,0.88,0.015151515151515154,1,0,Boleto Universitario
hola en el portal del boleto estudiantil no me deja registrarme apreto el boton verde y me dice no se ah podido.hay algun problema? ,4,3,8,2,2017,3,5,2,1,1,52,4,132,0.0,0.803030303030303,0,25,15,0.88,0.015151515151515154,1,0,Pedido de Certificados
"hola: muy buenas tardes,una consulta debido a que debo una dosis de vacunas,no puedo inscribirme en el siguiente cuatrimestre,se que he cometido un error de no haber cumplido con los requisito.          pido disculpa,tengo 43 años y el tiempo para mi ya es corto para estas instancia.          desde ya muchas gracias , espero que me consideren .                           saludo atte. ",3,3,8,2,2019,1,1,4,1,1,52,13,386,0.0,0.7046632124352331,0,103,75,0.5145631067961165,0.02590673575129533,4,0,Pedido de Certificados
"buenos dias,   queria consultar por mi boleto estudiantil todabia no me lo dieron y yo estoy inscripto desde el 2018.  habra pasado algo o falta alguna documentacion aqui les dejo mi dni:40652014. nombre: pablo gomez.  espero su respuesta.  muchas gracias. ",4,5,3,1,2019,3,6,4,1,1,3,6,257,0.0,0.7470817120622568,0,46,21,0.8695652173913043,0.0311284046692607,5,0,Boleto Universitario
"buenos dias,   queria consultar por mi boleto estudiantil todabia no me lo dieron y yo estoy inscripto desde el 2018.  habra pasado algo o falta alguna documentacion aqui les dejo mi dni:40652014. nombre: pablo gomez.  espero su respuesta.  muchas gracias. ",4,5,3,1,2019,3,6,4,1,1,3,6,257,0.0,0.7470817120622568,0,46,21,0.8695652173913043,0.0311284046692607,5,0,Problemas con la Clave
