Consulta,dia_semana,semana_del_mes,mes,cuatrimestre,anio,hora_discretizada,dni_discretizado,legajo_discretizado,posee_legajo,posee_telefono,carrera_valor,proveedor_correo,cantidad_caracteres,proporcion_mayusculas,proporcion_letras,cantidad_tildes,cantidad_palabras,cantidad_palabras_cortas,proporcion_palabras_distintas,frecuencia_signos_puntuacion,cantidad_oraciones,utiliza_codigo_asignatura
quisiera saber porque no tengo el numero de legajo? lo necesitaria para poder anotarme en los horarios de las materias. muchas gracias ,6,1,2,1,2016,3,5,0,0,0,17,4,135,0.0,0.8222222222222222,0,23,10,0.9565217391304348,0.014814814814814815,1,0
"quería cambiarme al prof. de educ. física. quiero ver la oferta de asignaturas y así ver los horarios, ya que me dijeron qué tenía abril/mayo para el cambio de carrera. pero no me deja entrar porque dice que el período de inscripción no está vigente. gracias ",0,1,4,1,2016,0,3,3,1,1,55,6,259,0.0,0.7953667953667953,8,47,27,0.8297872340425532,0.02316602316602316,5,0
"hola. quiero saber en que condición estoy para retomar la carrera. ya estuve libre y no se si me puedo reinscribir. en caso de no poder, &iquest;como hago para no perder lo cursado? gracias. ",3,3,2,1,2019,0,1,1,1,1,27,4,191,0.0,0.7801047120418848,1,35,19,0.8857142857142857,0.03664921465968586,4,0
"estimados, no puedo inscribirme a las cursadas de la licenciatura en historia, ya que, al realizar los pasos correspondientes me dice que estoy en condición de libre.  a la espera de una respuesta favorable, desde ya muchas gracias, alberto. ",2,4,2,1,2018,3,1,1,1,1,6,13,242,0.0,0.8057851239669421,1,41,22,0.8292682926829268,0.028925619834710745,2,0
estoy tratando de realizar la prescripción on-line y luego de llenar con los datos no me llega ningún mail para continuar con la operación.  ,4,4,5,1,2018,3,6,0,0,1,0,4,141,0.0,0.8085106382978723,3,26,14,0.8461538461538461,0.007092198581560284,1,0
hola que tal quiero incribirme a universidad pero no me llega nada al email para hacer la segunda parte de la incripcion web &iquest;que puedo hacer? ,2,5,5,1,2018,1,2,0,0,0,0,4,150,0.0,0.8066666666666666,0,27,15,0.9629629629629628,0.013333333333333334,1,0
yo hize el tramite para el pase estudiantil provincial .. y queria saber cuando me acreditan la plata ??? ,6,4,3,1,2019,3,8,4,1,1,54,4,106,0.0,0.7735849056603774,0,20,12,0.95,0.04716981132075472,2,0
"no puedo iniciar el proceso para el boleto estudiantil, me aparece &quot;error de credenciales&quot; ",0,1,3,1,2018,0,5,2,1,1,54,4,101,0.0,0.8118811881188119,0,15,7,0.9333333333333332,0.0297029702970297,1,0
buenas. queria consultar porque en este año que comenzo aun no se me han acreditado los beneficios de precarga por boleto estudiantil? intente apoyar la sube en varios centros de carga pero no me dice que no tengo disponible ninguna recarga. y en la plataforma de la universidad me dice que cuento con dicho beneficio. si podrian ayudarme o informarme estaria agradecido. ,1,1,4,1,2018,1,3,3,1,1,27,4,372,0.0,0.8198924731182796,0,63,34,0.7936507936507936,0.013440860215053764,4,0
"estimados,   necesito si por favor me pueden enviar   el analitico correspondiente a mi carrera. intento entraar por la plataforma digital (servicios acad&egrave;mics) y me dice que ya no tengo mas la cuenta.  saludos,  manuela. ",2,1,4,1,2019,3,3,1,1,1,1,4,229,0.0,0.7860262008733624,0,41,23,0.7804878048780488,0.026200873362445413,3,0
"en sistema me muestra que tengo beneficio adjudicado para boleto provincial univ , pero no se como hacer para que se acredite en mi sube ",3,5,5,1,2019,0,1,4,1,1,4,4,137,0.0,0.8102189781021898,0,26,17,0.8461538461538461,0.007299270072992701,1,0
"hola, buenas tardes!! me inscribí en un final hoy a través de la página de la unlu y lo hice en condición de libre, pero yo soy regular, me confundi y no me di cuenta! ustedes podrian ayudarme? estoy preocupada y no sé a quien concurrir!! muchisimas gracias... soy de la sede de san miguel ",2,4,6,1,2018,1,7,4,1,1,54,6,290,0.0,0.7689655172413793,5,56,34,0.75,0.04137931034482759,3,0
no me deja entrar a mi perfil de estudiantes. . me dice que no completo la info... quisiera saver como resolverlo  ,1,4,11,2,2018,2,6,4,1,1,41,4,115,0.0,0.7652173913043478,0,23,15,0.8695652173913043,0.043478260869565216,5,0
hola buenas tardes como hago para inscribirme por via web para los talleres ,2,3,12,2,2018,2,8,0,0,1,8,4,76,0.0,0.8289473684210527,0,14,10,0.9285714285714286,0.0,1,0
necesitaría saber como tengo que hacer para anotarme el siguiente año (2016) en la sede de san miguel para seguir cursando la licenciatura de geografía. tengo que solicitar el pase desde lujan? o directamente anotarme en san miguel? se puede hacer via web? ,4,1,12,2,2015,2,1,2,1,1,10,6,257,0.0,0.7937743190661478,2,44,23,0.7727272727272727,0.01556420233463035,1,0
"buen día! quiero anotarme en las cursadas del 1er cuatrimestre y no me deja, dice que no tengo los requisitos para poder anotarme. quisiera ver si me podrían ayudar! muchas gracias. julián. ",0,3,2,1,2019,1,7,0,0,1,25,6,190,0.0,0.7947368421052632,3,33,18,0.9393939393939394,0.03157894736842105,3,0
"hola, quiero tramitar el boleto estudiantil pero dice que ya tengo un beneficio asignado. la cuestión esta en que yo ya tenia el boleto porque estuve cursando en la unm pero me cambié a la unlu este año. como puedo hacer para obtener el boleto? me es de suma urgencia, muchas gracias-  ",1,2,3,1,2019,3,6,4,1,1,5,4,286,0.0,0.7937062937062938,2,54,32,0.7962962962962963,0.017482517482517484,2,0
